5,Smartphone muletto,"Questo è il classico smartphone che va rapportato al prezzo, spendendo meno di 50 euro di sicuro non si può pretendere la fascia media, infatti si configura come un telefono di fascia base. Una piccola nota, nonostante il telefono vi arrivi con la batteria inserita è presente un'adesivo sui contatti che dovete rimuovere. Quindi se il telefono non si accende e quando lo mettete in carica vi da un led blu lampeggiante è perché è presente questo adesivo e la batteria non fa contatto con il telefono.  Il SoC è targato mediatek, come tutti i telefoni di fascia bassa e per la precisione è il MT6570. La CPU è un dual core a 32 bit e su antutu riesce a totalizzare 15000 punti, ma fallisce il test del 3D. Questo è molto strano in quanto se lanciato singolarmente il test sembra funzionare regolarmente. Ha 512MB di ram e 8GB di memoria interna di cui 4 disponibili, la memoria è espandibile tramite micro SD. Lo schermo è un 5'' sub HD con una risoluzione di 480x854 mentre la batteria è da 3360 mAh, che è il punto forte di questo telefono. Interessante il supporto dual sim con uno slot per micro SIM ed uno per sim grande.  Sono tutte caratteristiche HW abbastanza di base, ma è il necessario per un'uso basilare del telefono. Io l'ho preso per la badante di mio nonno che non poteva permettersi un telefono costoso ed aveva principalmente bisogno di telefonare ed usare WhatsApp, unito ad un minimo di navigazione Web. Con questo si trova bene, di sicuro non è una scheggia ma fa quello di cui ha bisogno. Sicuramente non è una scheggia per colpa della pochissima ram, che nel 2017 dovrebbe essere almeno 1GB, ma capisco che in questo caso hanno voluto tenere i costi più bassi possibile.  La velocità internet mobile si ferma al 3G che magari per alcuni può non essere un grosso problema ma non è comunque una cosa positiva. La fotocamera è abbastanza scarsa, con soli 5MP, e 2MP per la frontale, con flash flash led. Infatti con una buona luce le foto sono decenti e diciamo che il flash aiuta, non aspettatevi nemmeno lontanamente una qualità alta.  Lo schermo non è full hd ma i pixel per pollice sono comunque abbastanza da non creare in effetto retina e comunque questo va a beneficio della batteria che non è enorme. Lo schermo mi pare un normalissimo LCD. Inoltre i tasti sono soft touch. Per la ricarica si affida alla classica porta micro USB.  Esteticamente si presenta molto bene bene, con cornice in metallo e corpo simil unibody, ma il retro è completamente in plastica, quindi se non messo in una cover immagino si righi abbastanza velocemente.  A livello software ha la lingua italiana, android 6.0 ed il PlayStore. Come tutti questi prodotti di fascia bassissima non aspettatevi chissà quali aggiornamenti. Mi ha stupito molto il materiale fornito in dotazione, infatti incluso nella scatola troverete il caricabatterie da muro da 1A, cavo USB per la ricarica, bumper case in silicone trasparente e la pellicola per il display. Insomma è veramente pronto all'uso e questo mi ha sorpreso visto che raramente si trova una dotazione così ricca.  In conclusione è uno smartphone di fascia bassissima, va bene come telefono di riserva mentre il nostro è in riparazione o per una persona che ha veramente esigenze di base. Diciamo che se ci si accontenta di WhatsApp, Facebook (magari lite) e si mette un bel Nova Launcher può andare, va comunque rapportato al prezzo. Ottima la batteria più che altro, che unita ad un telefono poco avido di risorse riesce facilmente a superare la giornata."
4,ok ma..,"ho scelto il prodotto per il prezzo rapportato alle prestazioni,e mi ha soddisfatto,e molto utile a chi non ha molta dimestichezza con uno smartphone,e necessita di un prodotto semplice,spedizione ok,veloce e come prevista da amazon.forse di negativo e il fatto della fragilità del guscio posteriore che se aperto in modo sbagliato si puo rompere con facilità . ultimamaente ha iniziato adare problemi con le app che spariscono e ricompaiono a loro piacimento,ma pare che sia imperizia del possessore e non un difetto del telefono."
3,Qualita prezzo,"Diciamo che per quel prezzo di più non si puo' pretendere. E' un po' lento, la fotocamera e' limitata, ma tutto sommato funziona egregiamente. l'ho preso come muletto in attesa della riparazione del mio ufficiale. non caricare tante app, si rallenta ancora di piu'."
5,Buon smartphone,Estetica Buona e per ora sembra tutto ok . Soddisfatta anche perché oltre allo smartphone c è la cover e pellicola per vetro. Rapporto prezzo qualità direi più che buono.
5,OTTIMO,"Consigliabile. Ne ricompro un altro per regalarlo al mio fratellino. Per il prezzo che ha e' veramente conveniente...tranne la foto e' alla norma definizone ( per chi lo vuole usare come una machina foto, non e' adatta assoluttamente, invece per le foto di facebook o altro va al massimo) Arrivato pure con il cover e un cambio vetro temperato.. Grazie mille"
3,onesto e funzionale ma troppo poca memoria,"Telefono di fortuna visto la rottura di un doppia scheda, con qualità mediocri di ricezione e funzionalita, da dire che il prezzo e irrisorio. modeste le funzionalita per la poca memoria che possiede. comunque ottima spedeizione come la solito"
5,Ottimo prodotto,"Per il momento ottimo prodotto, già acquistato prodotti doogee e andati molto bene , tenendo conto del rapporto qualità-prezzo. Poi bisogna vedere se in caso ci fossero malfunzionamenti come si comporta il venditore."
5,Un giudizio decisamente positivo,"Costa molto meno di altri prodotti più blasonati.. Si presenta bene, ed è molto maneggevole. L'ho consigliato ad alcuni amici"
5,Ottimo nonostante il prezzo,"In telefono ha un ottima prestazione , molto veloce a caricare , ottima memoria , l'unica pecca è che non si sente proprio benissimo!"
1,Molto deluso,"Come si fa ad creare un cellulare simile : schermo bellissimo , touch bellissimo , volume bellissimo , prezzo incredibile , 2 alloggi per SIM Ma con così poca RAM  Solo 512Mega Quindi per passare da una app a l'altra ho il tempo donner un caffè  Meglio non usare FB , va troppo a rilento "
